reference,pin,function,net,sheet
J101,1,1,L_RCA,input
J101,2,2,GND,input
R101,1,~,L_RCA,input
R101,2,~,GND,input
C101,1,~,L_RCA,input
C101,2,~,L_AC,input
R102,1,~,L_AC,input
R102,2,~,L_INV1,input
U2,3,+,VMID,input
U2,2,-,L_INV1,input
U2,1,OUT,L_NEG,input
R103,1,~,L_INV1,input
R103,2,~,L_NEG,input
C102,1,~,L_INV1,input
C102,2,~,L_NEG,input
R104,1,~,L_NEG,input
R104,2,~,L_INV2,input
U2,5,+,VMID,input
U2,6,-,L_INV2,input
U2,7,OUT,L_POS,input
R105,1,~,L_INV2,input
R105,2,~,L_POS,input
C103,1,~,L_INV2,input
C103,2,~,L_POS,input
J102,1,1,R_RCA,input
J102,2,2,GND,input
R121,1,~,R_RCA,input
R121,2,~,GND,input
C121,1,~,R_RCA,input
C121,2,~,R_AC,input
R122,1,~,R_AC,input
R122,2,~,R_INV1,input
U3,3,+,VMID,input
U3,2,-,R_INV1,input
U3,1,OUT,R_NEG,input
R123,1,~,R_INV1,input
R123,2,~,R_NEG,input
C122,1,~,R_INV1,input
C122,2,~,R_NEG,input
R124,1,~,R_NEG,input
R124,2,~,R_INV2,input
U3,5,+,VMID,input
U3,6,-,R_INV2,input
U3,7,OUT,R_POS,input
R125,1,~,R_INV2,input
R125,2,~,R_POS,input
C123,1,~,R_INV2,input
C123,2,~,R_POS,input
C150,1,~,L_NEG,input
C150,2,~,AC_A,input
R150,1,~,AC_A,input
R150,2,~,INPUT_A,input
C154,1,~,INPUT_A,input
C154,2,~,GND,input
C151,1,~,L_POS,input
C151,2,~,AC_B,input
R151,1,~,AC_B,input
R151,2,~,INPUT_B,input
C155,1,~,INPUT_B,input
C155,2,~,GND,input
C152,1,~,R_NEG,input
C152,2,~,AC_C,input
R152,1,~,AC_C,input
R152,2,~,INPUT_C,input
C156,1,~,INPUT_C,input
C156,2,~,GND,input
C153,1,~,R_POS,input
C153,2,~,AC_D,input
R153,1,~,AC_D,input
R153,2,~,INPUT_D,input
C157,1,~,INPUT_D,input
C157,2,~,GND,input
J201,1,1,PVDD_IN,power-control
J201,2,2,GND,power-control
F1,1,~,PVDD_IN,power-control
F1,2,~,PVDD,power-control
J202,1,1,+12V,power-control
J202,2,2,GND,power-control
C201,1,~,PVDD,power-control
C201,2,~,GND,power-control
C202,1,~,PVDD,power-control
C202,2,~,GND,power-control
C203,1,~,PVDD,power-control
C203,2,~,GND,power-control
C204,1,~,PVDD,power-control
C204,2,~,GND,power-control
C205,1,~,PVDD,power-control
C205,2,~,GND,power-control
C206,1,~,PVDD,power-control
C206,2,~,GND,power-control
R201,1,~,+12V,power-control
R201,2,~,VDD_FILTERED,power-control
C207,1,~,VDD_FILTERED,power-control
C207,2,~,GND,power-control
C208,1,~,VDD_FILTERED,power-control
C208,2,~,GND,power-control
C209,1,~,+12V,power-control
C209,2,~,GND,power-control
C210,1,~,+12V,power-control
C210,2,~,GND,power-control
C211,1,~,DVDD,power-control
C211,2,~,GND,power-control
C212,1,~,AVDD,power-control
C212,2,~,GND,power-control
C213,1,~,VBG,power-control
C213,2,~,GND,power-control
C214,1,~,C_START,power-control
C214,2,~,GND,power-control
R202,1,~,OC_ADJ,power-control
R202,2,~,GND,power-control
R203,1,~,FREQ_ADJ,power-control
R203,2,~,GND,power-control
R204,1,~,+12V,power-control
R204,2,~,+12V_AUDIO,power-control
C215,1,~,+12V_AUDIO,power-control
C215,2,~,GND,power-control
R205,1,~,+12V_AUDIO,power-control
R205,2,~,VMID,power-control
R206,1,~,VMID,power-control
R206,2,~,GND,power-control
C216,1,~,VMID,power-control
C216,2,~,GND,power-control
C217,1,~,VMID,power-control
C217,2,~,GND,power-control
U2,8,V+,+12V_AUDIO,power-control
U2,4,V-,GND,power-control
C218,1,~,+12V_AUDIO,power-control
C218,2,~,GND,power-control
U3,8,V+,+12V_AUDIO,power-control
U3,4,V-,GND,power-control
C219,1,~,+12V_AUDIO,power-control
C219,2,~,GND,power-control
U4,2,IN,+12V,reset
U4,1,OUT,+3V3_CTRL,reset
U4,3,GND,GND,reset
C301,1,~,+12V,reset
C301,2,~,GND,reset
C302,1,~,+3V3_CTRL,reset
C302,2,~,GND,reset
JP1,1,1,+3V3_CTRL,reset
JP1,2,2,ENABLE_LINK,reset
JP1,3,3,GND,reset
R301,1,~,ENABLE_LINK,reset
R301,2,~,RESET_N,reset
R302,1,~,RESET_N,reset
R302,2,~,GND,reset
J301,1,1,GND,reset
J301,2,2,FAULT_N,reset
J301,3,3,CLIP_OTW_N,reset
J301,4,4,RESET_N,reset
